A totals: messages=20142, reactions=7766, engagements=27908
B totals: messages=20142, reactions=7766, engagements=27908

=== Category A (by combined rate) ===
emoji	combined/100eng	body/100msg	react/100react	counts(comb,body,react)
🏛	0.01	0.01	0.00	(3,3,0)
👉	0.01	0.01	0.00	(3,3,0)
👸	0.01	0.00	0.04	(3,0,3)
💛	0.01	0.01	0.01	(3,2,1)
💫	0.01	0.01	0.00	(3,3,0)
💬	0.01	0.01	0.00	(3,3,0)
🔗	0.01	0.01	0.00	(3,3,0)
🕯	0.01	0.01	0.00	(3,3,0)
🕺	0.01	0.00	0.03	(3,1,2)
🖕	0.01	0.00	0.04	(3,0,3)
😀	0.01	0.00	0.03	(3,1,2)
😆	0.01	0.01	0.01	(3,2,1)
😉	0.01	0.01	0.00	(3,3,0)
😓	0.01	0.01	0.01	(3,2,1)
😞	0.01	0.01	0.01	(3,2,1)
😠	0.01	0.00	0.04	(3,0,3)
😤	0.01	0.01	0.00	(3,3,0)
😫	0.01	0.00	0.03	(3,1,2)
🛑	0.01	0.01	0.00	(3,3,0)
🤍	0.01	0.01	0.00	(3,3,0)
🤙	0.01	0.01	0.00	(3,3,0)
🤴	0.01	0.00	0.03	(3,1,2)
🥁	0.01	0.00	0.04	(3,0,3)
🥇	0.01	0.00	0.04	(3,0,3)
🥴	0.01	0.01	0.01	(3,2,1)
🪬	0.01	0.01	0.01	(3,2,1)
🫢	0.01	0.01	0.00	(3,3,0)
‼	0.01	0.00	0.03	(2,0,2)
☠	0.01	0.00	0.01	(2,1,1)
⚡	0.01	0.00	0.01	(2,1,1)
✈	0.01	0.00	0.01	(2,1,1)
✊	0.01	0.01	0.00	(2,2,0)
➜	0.01	0.01	0.00	(2,2,0)
🌞	0.01	0.01	0.00	(2,2,0)
🍗	0.01	0.00	0.03	(2,0,2)
🍦	0.01	0.00	0.01	(2,1,1)
🍹	0.01	0.01	0.00	(2,2,0)
🎁	0.01	0.01	0.00	(2,2,0)
🎶	0.01	0.01	0.00	(2,2,0)
👁	0.01	0.00	0.03	(2,0,2)
👈	0.01	0.01	0.00	(2,2,0)
👿	0.01	0.00	0.03	(2,0,2)
💁	0.01	0.01	0.00	(2,2,0)
💞	0.01	0.00	0.03	(2,0,2)
💵	0.01	0.00	0.01	(2,1,1)
📅	0.01	0.01	0.00	(2,2,0)
📆	0.01	0.01	0.00	(2,2,0)
📋	0.01	0.01	0.00	(2,2,0)
🔝	0.01	0.00	0.03	(2,0,2)
🔴	0.01	0.01	0.00	(2,2,0)
🖐	0.01	0.00	0.03	(2,0,2)
🗓	0.01	0.01	0.00	(2,2,0)
😎	0.01	0.01	0.00	(2,2,0)
😐	0.01	0.00	0.01	(2,1,1)
😑	0.01	0.00	0.01	(2,1,1)
😥	0.01	0.00	0.01	(2,1,1)
😵	0.01	0.00	0.01	(2,1,1)
😶‍🌫	0.01	0.01	0.00	(2,2,0)
😿	0.01	0.00	0.03	(2,0,2)
🤗	0.01	0.01	0.00	(2,2,0)
🤢	0.01	0.00	0.03	(2,0,2)
🪩	0.01	0.01	0.00	(2,2,0)
🫤	0.01	0.01	0.00	(2,2,0)
🫨	0.01	0.00	0.01	(2,1,1)
0⃣	0.00	0.00	0.01	(1,0,1)
☀	0.00	0.00	0.00	(1,1,0)
☑	0.00	0.00	0.01	(1,0,1)
⛵	0.00	0.00	0.00	(1,1,0)
✔	0.00	0.00	0.01	(1,0,1)
✖	0.00	0.00	0.01	(1,0,1)
⭐	0.00	0.00	0.01	(1,0,1)
🇫🇷	0.00	0.00	0.01	(1,0,1)
🇮🇷	0.00	0.00	0.01	(1,0,1)
🇲🇦	0.00	0.00	0.01	(1,0,1)
🇺🇸	0.00	0.00	0.01	(1,0,1)
🌈	0.00	0.00	0.01	(1,0,1)
🌟	0.00	0.00	0.01	(1,0,1)
🌱	0.00	0.00	0.01	(1,0,1)
🌲	0.00	0.00	0.00	(1,1,0)
🌳	0.00	0.00	0.00	(1,1,0)
🌶	0.00	0.00	0.01	(1,0,1)
🌼	0.00	0.00	0.00	(1,1,0)
🍀	0.00	0.00	0.00	(1,1,0)
🍊	0.00	0.00	0.01	(1,0,1)
🍔	0.00	0.00	0.01	(1,0,1)
🍝	0.00	0.00	0.00	(1,1,0)
🍸	0.00	0.00	0.00	(1,1,0)
🍾	0.00	0.00	0.01	(1,0,1)
🎆	0.00	0.00	0.01	(1,0,1)
🎖	0.00	0.00	0.01	(1,0,1)
🎧	0.00	0.00	0.00	(1,1,0)
🎵	0.00	0.00	0.00	(1,1,0)
🏢	0.00	0.00	0.01	(1,0,1)
🐄	0.00	0.00	0.00	(1,1,0)
🐐	0.00	0.00	0.01	(1,0,1)
🐣	0.00	0.00	0.00	(1,1,0)
🐦	0.00	0.00	0.01	(1,0,1)
🐧	0.00	0.00	0.01	(1,0,1)
🐳	0.00	0.00	0.00	(1,1,0)
👨‍🎓	0.00	0.00	0.00	(1,1,0)
👩‍❤‍👨	0.00	0.00	0.00	(1,1,0)
👩‍❤‍💋‍👩	0.00	0.00	0.01	(1,0,1)
👮	0.00	0.00	0.01	(1,0,1)
👼	0.00	0.00	0.01	(1,0,1)
💂	0.00	0.00	0.01	(1,0,1)
💊	0.00	0.00	0.01	(1,0,1)
💋	0.00	0.00	0.01	(1,0,1)
💐	0.00	0.00	0.00	(1,1,0)
💕	0.00	0.00	0.00	(1,1,0)
💗	0.00	0.00	0.00	(1,1,0)
💜	0.00	0.00	0.00	(1,1,0)
💡	0.00	0.00	0.01	(1,0,1)
💣	0.00	0.00	0.01	(1,0,1)
💩	0.00	0.00	0.01	(1,0,1)
💭	0.00	0.00	0.01	(1,0,1)
💰	0.00	0.00	0.00	(1,1,0)
💸	0.00	0.00	0.01	(1,0,1)
💻	0.00	0.00	0.00	(1,1,0)
📥	0.00	0.00	0.00	(1,1,0)
📦	0.00	0.00	0.00	(1,1,0)
📩	0.00	0.00	0.00	(1,1,0)
📲	0.00	0.00	0.00	(1,1,0)
🔍	0.00	0.00	0.01	(1,0,1)
🕎	0.00	0.00	0.01	(1,0,1)
🕐	0.00	0.00	0.01	(1,0,1)
🕒	0.00	0.00	0.00	(1,1,0)
🕘	0.00	0.00	0.00	(1,1,0)
🗣	0.00	0.00	0.01	(1,0,1)
🗿	0.00	0.00	0.01	(1,0,1)
😌	0.00	0.00	0.00	(1,1,0)
😒	0.00	0.00	0.01	(1,0,1)
😛	0.00	0.00	0.01	(1,0,1)
😟	0.00	0.00	0.00	(1,1,0)
😣	0.00	0.00	0.00	(1,1,0)
😪	0.00	0.00	0.00	(1,1,0)
😮‍💨	0.00	0.00	0.00	(1,1,0)
😯	0.00	0.00	0.01	(1,0,1)
😴	0.00	0.00	0.01	(1,0,1)
😼	0.00	0.00	0.01	(1,0,1)
🙅	0.00	0.00	0.01	(1,0,1)
🙊	0.00	0.00	0.01	(1,0,1)
🚩	0.00	0.00	0.01	(1,0,1)
🚫	0.00	0.00	0.01	(1,0,1)
